Date,Open,High,Low,Close,Volume,Market Cap
"Nov 18, 2017",39.74,48.09,36.28,42.74,434827000.00,2583010000.00
"Nov 19, 2017",43.01,45.45,36.66,39.75,273035000.00,2795440000.00
"Nov 20, 2017",39.94,43.14,35.64,35.64,243906000.00,2596080000.00
"Nov 21, 2017",36.21,37.16,33.38,34.36,133333000.00,2353570000.00
"Nov 22, 2017",34.45,36.98,34.45,35.86,82378800.00,2239040000.00
"Nov 23, 2017",35.83,36.29,34.5,34.9,68917800.00,2329200000.00
"Nov 24, 2017",34.89,35.7,33.46,34.79,68977700.00,2267940000.00
"Nov 25, 2017",34.83,39.86,34.6,38.13,125113000.00,2263690000.00
"Nov 26, 2017",38.04,39.2,37.49,38.44,61597700.00,2472680000.00
"Nov 27, 2017",38.32,41.91,38.32,40.13,83345900.00,2491020000.00
"Nov 28, 2017",40.13,40.13,37.47,38.08,80129000.00,2608660000.00
"Nov 29, 2017",37.99,39.44,31.23,32.28,137123000.00,2469340000.00
"Nov 30, 2017",32.54,34.98,30.09,32.96,78895100.00,2115360000.00
"Dec 01, 2017",32.89,36.23,31.36,35.84,89359700.00,2137790000.00
"Dec 02, 2017",35.84,36.61,34.51,35.07,48991700.00,2329690000.00
"Dec 03, 2017",35.09,39.52,35.03,36.62,79801700.00,2281180000.00
"Dec 04, 2017",36.65,43,36.62,42.17,160430000.00,2382160000.00
"Dec 05, 2017",41.99,42.79,38.82,38.82,101480000.00,2729160000.00
"Dec 06, 2017",38.75,38.85,34.4,35.16,118745000.00,2518460000.00
"Dec 07, 2017",35.04,37.26,33.31,34.86,125301000.00,2277340000.00
"Dec 08, 2017",34.84,37.38,32.36,36.27,125450000.00,2264560000.00
